Name	451Lu_DMSO_1	451Lu_DMSO_2	451Lu_Corin_1	451Lu_Corin_2	451Lu_PLX_1	451Lu_PLX_2	451Lu_PLX_Corin_1	451Lu_PLX_Corin_2	1205Lu_DMSO_1	1205Lu_DMSO_2	1205Lu_Corin_1	1205Lu_Corin_2	1205Lu_PLX_1	1205Lu_PLX_2	1205Lu_PLX_Corin_1	1205Lu_PLX_Corin_2
ENSG00000155961.5	0	0	0	1.026372852	0	0	0	0	18.44072922	14.38440048	155.2065482	168.153742	13.79745481	12.17870997	126.5705774	150.8808427
ENSG00000172534.14	1369.930563	1395.503925	313.1244024	319.2019569	1338.116897	1214.249408	244.956621	253.9729089	1842.228849	1838.326382	497.6956647	484.1057729	1682.228144	1802.449076	594.3754312	597.8297541
ENSG00000189420.8	0	0	5.204283697	6.15823711	0.96069734	0	2.226878373	4.304625575	0	0	0	0.885019695	0	0	0	0
ENSG00000183837.9	6.765089199	4.775851899	163.0675558	163.1932834	9.606973398	11.59187979	144.7470942	134.5195492	0	0	0	0	0	0	0	0
ENSG00000221867.9	1677.9789	1678.941184	1043.970636	1113.460588	1773.98528	1679.180387	1102.354899	1090.932021	0	0	0	0	0	0	0	0
ENSG00000011677.13	0	0.95517038	26.8887991	40.02854122	0.96069734	0	23.38222292	17.2185023	0	0	2.069420643	4.425098473	0	0	3.037693856	1.897872235
ENSG00000102195.10	0	0	58.11450128	65.68786251	0.96069734	0	143.6336551	151.7380515	0	0	23.7983374	30.97568931	0	0	38.47745552	41.75318917
ENSG00000185985.10	33.93292635	34.5583509	98.88139023	123.5321837	28.82092019	28.97969948	82.3944998	89.32098068	0	0	39.31899222	41.90196545	0	0	32.5188165	31.43550166
ENSG00000022267.19	31.28853755	31.52062254	238.5296694	247.3558573	29.78161753	27.04771951	230.4819116	200.1650892	1356.315634	1273.498923	1302.710642	1291.243734	1330.923718	1368.444139	1151.285972	1160.548872
ENSG00000085185.15	49.0468967	47.75851899	250.672998	247.3558573	42.27068295	54.09543902	205.9862495	195.8604637	111.5664118	114.1162438	348.6973784	323.9172082	111.4409812	101.8583016	375.6614736	404.2467861
ENSG00000003096.14	0	0.95517038	6.939044929	9.237355665	0	0	10.02095268	0	11.06443753	6.712720225	90.01979798	83.19185129	4.245370711	7.750088164	71.89208794	60.73191152
ENSG00000271021.1	0	0	0.867380616	0	0	0	0	0	0	0	13.45123418	11.50525603	0	0	19.23872776	10.43829729
