ensembl,FC,padj,gene
ENSG00000156853.13,-9.451727753,2.38E-10,ZNF689
ENSG00000115339.14,-8.781067644,9.85E-25,GALNT3
ENSG00000261711.6,-8.226372341,1.33E-07,FRG2DP
ENSG00000227946.1,-7.249393085,9.29E-06,AC007383.2
ENSG00000272269.1,-7.155054209,1.42E-05,AL138724.1
ENSG00000237797.1,-7.000201147,2.53E-05,MACORIS
ENSG00000286220.1,-7.000088068,2.53E-05,AC007546.3
ENSG00000117834.12,-6.857573891,3.03E-10,SLC5A9
ENSG00000254626.1,-6.772508207,1.57E-05,AP003100.1
ENSG00000205444.3,-6.607060558,1.37E-30,AL034376.1
ENSG00000172349.17,-6.51972857,2.90E-54,IL16
ENSG00000137265.15,-6.515330025,2.51E-58,IRF4
ENSG00000197415.12,-6.494627915,9.58E-46,VEPH1
ENSG00000164045.12,-6.449340455,4.52E-25,CDC25A
ENSG00000170961.7,-6.439481747,1.95E-92,HAS2
ENSG00000277957.1,-6.317018305,0.000397857,SENP3-EIF4A1
ENSG00000272267.2,-6.316342339,0.000366058,AC021242.3
ENSG00000163016.10,-6.226322935,0.000471842,ALMS1P1
ENSG00000285925.1,-6.178776342,0.000612879,AC007391.2
ENSG00000284824.1,-6.105876381,5.24E-08,GCSAML-AS1
ENSG00000275297.1,-6.027073864,0.000929644,AL162731.1
ENSG00000260880.5,-5.961235467,1.56E-27,HCCAT5
ENSG00000155530.3,-5.895354478,2.31E-33,LRGUK
ENSG00000249306.6,-5.828978434,0.000404274,LINC01411
ENSG00000146285.14,-5.784279157,2.69E-80,SCML4
ENSG00000257379.1,-5.732021989,0.002618785,AC023509.1
ENSG00000232242.2,-5.731745802,0.002408865,ZYG11AP1
ENSG00000196242.10,-5.727887757,6.77E-10,OR2C3
ENSG00000205832.7,-5.594150974,0.003620707,C16orf96
ENSG00000285980.2,-5.593950113,0.003712884,AP003025.2
ENSG00000228314.1,-5.585112727,0.000925527,CYP4F29P
ENSG00000232411.1,-5.574922835,2.71E-09,AC009495.2
ENSG00000149257.14,-5.541860082,0,SERPINH1
ENSG00000159387.7,-5.519564627,3.71E-31,IRX6
ENSG00000288021.1,-5.502967237,0.001067014,AL450338.2
ENSG00000261222.3,-5.442036395,0.005649254,AC064805.1
ENSG00000182352.8,-5.387159512,2.98E-24,C17orf77
ENSG00000213967.11,-5.383106121,0.001510723,ZNF726
ENSG00000279094.3,-5.360100367,0.007666875,LINC01670
ENSG00000256034.1,-5.359626516,0.007053986,AP002770.1
ENSG00000212694.8,-5.359389663,0.0073655,LINC01089
ENSG00000236449.2,-5.351754308,0.001745499,AC010894.3
ENSG00000110693.18,-5.314825428,2.92E-247,SOX6
ENSG00000196550.10,-5.299502104,3.55E-08,FAM72A
ENSG00000104413.18,-5.283345886,7.50E-65,ESRP1
ENSG00000140873.16,-5.272472661,0.009158961,ADAMTS18
ENSG00000203307.2,-5.272222324,0.008883148,AL626787.1
ENSG00000274678.1,-5.271715175,0.010085542,AC106886.3
ENSG00000145386.10,-5.255983915,8.70E-74,CCNA2
ENSG00000272455.1,-5.213477431,2.33E-10,AL391244.2
ENSG00000285424.1,-5.188453672,0.002695423,AL162718.1
ENSG00000171234.14,-5.187268106,5.59E-15,UGT2B7
ENSG00000237232.8,-5.178912687,0.011521463,ZNF295-AS1
ENSG00000171757.16,-5.157164773,0.000993594,LRRC34
